===== 08_APLICATIVOS_INSTALADOS =====

DisplayName                                                             DisplayVersion     Publisher                 
Microsoft ASP.NET Core Runtime - 10.0.11 (x64)                          80.44.56884        Microsoft Corporation     
Microsoft ASP.NET Core Targeting Pack - 10.0.11 (x64)                   80.44.56884        Microsoft Corporation     
Microsoft Build of OpenJDK  17.0.20.1+1 (x64)                           17.0.20.101        Microsoft                 
Microsoft Edge                                                          152.0.4191.62      Microsoft Corporation     
Microsoft Edge WebView2 Runtime                                         152.0.4191.62      Microsoft Corporation     
Microsoft OneDrive                                                      26.150.0804.0011   Microsoft Corporation     
Microsoft Visual Basic for Applications 7.1 (x64)                       7.1.00.00          Microsoft Corporation     
Microsoft Visual Basic for Applications 7.1 (x64) English               7.1.0.0            Microsoft Corporation     
Microsoft Visual Basic for Applications 7.1 (x64) Portuguese (Brazil)   7.1.0.0            Microsoft Corporation     
Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.4148          9.0.30729.4148     Microsoft Corporation     
Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161          9.0.30729.6161     Microsoft Corporation     
Microsoft Visual C++ 2022 X64 Additional Runtime - 14.51.36247          14.51.36247        Microsoft Corporation     
Microsoft Visual C++ 2022 X64 Debug Runtime - 14.51.36247               14.51.36247        Microsoft Corporation     
Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.51.36247             14.51.36247        Microsoft Corporation     
Microsoft Visual C++ 2022 X86 Additional Runtime - 14.51.36247          14.51.36247        Microsoft Corporation     
Microsoft Visual C++ 2022 X86 Debug Runtime - 14.51.36247               14.51.36247        Microsoft Corporation     
Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.51.36247             14.51.36247        Microsoft Corporation     
Microsoft Visual C++ v14 Redistributable (x64) - 14.51.36247            14.51.36247.0      Microsoft Corporation     
Microsoft Visual C++ v14 Redistributable (x86) - 14.51.36247            14.51.36247.0      Microsoft Corporation     
Microsoft Visual Studio Code (User)                                     1.136.1            Microsoft Corporation     
Microsoft Visual Studio Installer                                       4.8.60.55523       Microsoft Corporation     
Microsoft Visual Studio Setup Configuration                             4.8.41.48107       Microsoft Corporation     
