===== 07_FERRAMENTAS_COMANDOS_INSTALADOS =====

Name                                            CommandType Source                                    Version     
Install-Dtc                                        Function MsDtc                                     1.0.0.0     
Install-Language                                     Cmdlet LanguagePackManagement                    1.0         
Install-Module                                     Function PowerShellGet                             1.0.0.1     
Install-Package                                      Cmdlet PackageManagement                         1.0.0.1     
Install-PackageProvider                              Cmdlet PackageManagement                         1.0.0.1     
Install-ProvisioningPackage                          Cmdlet Provisioning                              3.0         
Install-Script                                     Function PowerShellGet                             1.0.0.1     
Install-TrustedProvisioningCertificate               Cmdlet Provisioning                              3.0         
Install-WindowsUpdate                                 Alias PSWindowsUpdate                           2.2.1.5     
Invoke-ADLicense                                   Function OSLicense                                 1.0.0       
Invoke-AsWorkflow                                  Function PSWorkflowUtility                         1.0.0.0     
Invoke-CimMethod                                     Cmdlet CimCmdlets                                1.0.0.0     
Invoke-Command                                       Cmdlet Microsoft.PowerShell.Core                 3.0.0.0     
Invoke-CommandInDesktopPackage                       Cmdlet Appx                                      2.0.1.0     
Invoke-DscResource                                   Cmdlet PSDesiredStateConfiguration               1.1         
Invoke-Expression                                    Cmdlet Microsoft.PowerShell.Utility              3.1.0.0     
Invoke-History                                       Cmdlet Microsoft.PowerShell.Core                 3.0.0.0     
Invoke-Item                                          Cmdlet Microsoft.PowerShell.Management           3.1.0.0     
Invoke-KmsLicense                                  Function OSLicense                                 1.0.0       
Invoke-LapsPolicyProcessing                          Cmdlet LAPS                                      1.0.0.0     
Invoke-Mock                                        Function Pester                                    3.4.0       
Invoke-OperationValidation                         Function Microsoft.PowerShell.Operation.Validation 1.0.1       
Invoke-OSLicense                                   Function OSLicense                                 1.0.0       
Invoke-Pester                                      Function Pester                                    3.4.0       
Invoke-RestMethod                                    Cmdlet Microsoft.PowerShell.Utility              3.1.0.0     
Invoke-SubscriptionLicense                         Function OSLicense                                 1.0.0       
Invoke-TroubleshootingPack                           Cmdlet TroubleshootingPack                       1.0.0.0     
Invoke-WebRequest                                    Cmdlet Microsoft.PowerShell.Utility              3.1.0.0     
Invoke-WmiMethod                                     Cmdlet Microsoft.PowerShell.Management           3.1.0.0     
Invoke-WSManAction                                   Cmdlet Microsoft.WSMan.Management                3.0.0.0     
Invoke-WUJob                                         Cmdlet PSWindowsUpdate                           2.2.1.5     
It                                                 Function Pester                                    3.4.0       
J:                                                 Function                                                       
Join-DtcDiagnosticResourceManager                    Cmdlet MsDtc                                     1.0.0.0     
Join-Path                                            Cmdlet Microsoft.PowerShell.Management           3.1.0.0     
K:                                                 Function                                                       
L:                                                 Function                                                       
Limit-EventLog                                       Cmdlet Microsoft.PowerShell.Management           3.1.0.0     
Lock-BitLocker                                     Function BitLocker                                 1.0.0.0     
M:                                                 Function                                                       
Measure-Command                                      Cmdlet Microsoft.PowerShell.Utility              3.1.0.0     
Measure-Object                                       Cmdlet Microsoft.PowerShell.Utility              3.1.0.0     
Merge-CIPolicy                                       Cmdlet ConfigCI                                  1.0         
mkdir                                              Function                                                       
Mock                                               Function Pester                                    3.4.0       
more                                               Function                                                       
Mount-AppPackageVolume                                Alias Appx                                      2.0.1.0     
Mount-AppvClientConnectionGroup                      Cmdlet AppvClient                                1.0.0.0     
Mount-AppvClientPackage                              Cmdlet AppvClient                                1.0.0.0     
Mount-AppxVolume                                     Cmdlet Appx                                      2.0.1.0     
Mount-DiskImage                                    Function Storage                                   2.0.0.0     
Mount-MsixPackageVolume                               Alias Appx                                      2.0.1.0     
Mount-MsixVolume                                      Alias Appx                                      2.0.1.0     
Mount-WindowsImage                                   Cmdlet Dism                                      3.0         
Move-AppPackage                                       Alias Appx                                      2.0.1.0     
Move-AppxPackage                                     Cmdlet Appx                                      2.0.1.0     
Move-Item                                            Cmdlet Microsoft.PowerShell.Management           3.1.0.0     
Move-ItemProperty                                    Cmdlet Microsoft.PowerShell.Management           3.1.0.0     
Move-MsixPackage                                      Alias Appx                                      2.0.1.0     
Move-SmbClient                                        Alias SmbWitness                                2.0.0.0     
Move-SmbWitnessClient                              Function SmbWitness                                2.0.0.0     
N:                                                 Function                                                       
New-Alias                                            Cmdlet Microsoft.PowerShell.Utility              3.1.0.0     
New-AppLockerPolicy                                  Cmdlet AppLocker                                 2.0.0.0     
New-AutologgerConfig                               Function EventTracingManagement                    1.0.0.0     
New-BcdEntry                                         Cmdlet Microsoft.Windows.Bcd.Cmdlets             1.0.0       
New-BcdStore                                         Cmdlet Microsoft.Windows.Bcd.Cmdlets             1.0.0       
New-CertificateNotificationTask                      Cmdlet PKI                                       1.0.0.0     
New-CimInstance                                      Cmdlet CimCmdlets                                1.0.0.0     
New-CimSession                                       Cmdlet CimCmdlets                                1.0.0.0     
New-CimSessionOption                                 Cmdlet CimCmdlets                                1.0.0.0     
New-CIPolicy                                         Cmdlet ConfigCI                                  1.0         
New-CIPolicyRule                                     Cmdlet ConfigCI                                  1.0         
New-DAEntryPointTableItem                          Function DirectAccessClientComponents              1.0.0.0     
New-DscChecksum                                    Function PSDesiredStateConfiguration               1.1         
New-DtcDiagnosticTransaction                         Cmdlet MsDtc                                     1.0.0.0     
New-EapConfiguration                               Function VpnClient                                 2.0.0.0     
New-EtwTraceSession                                Function EventTracingManagement                    1.0.0.0     
New-Event                                            Cmdlet Microsoft.PowerShell.Utility              3.1.0.0     
New-EventLog                                         Cmdlet Microsoft.PowerShell.Management           3.1.0.0     
New-FileCatalog                                      Cmdlet Microsoft.PowerShell.Security             3.0.0.0     
New-FileShare                                      Function Storage                                   2.0.0.0     
New-Fixture                                        Function Pester                                    3.4.0       
New-Guid                                           Function Microsoft.PowerShell.Utility              3.1.0.0     
New-IscsiTargetPortal                              Function iSCSI                                     1.0.0.0     
New-IseSnippet                                     Function ISE                                       1.0.0.0     
New-Item                                             Cmdlet Microsoft.PowerShell.Management           3.1.0.0     
New-ItemProperty                                     Cmdlet Microsoft.PowerShell.Management           3.1.0.0     
New-JobTrigger                                       Cmdlet PSScheduledJob                            1.1.0.0     
New-LocalGroup                                       Cmdlet Microsoft.PowerShell.LocalAccounts        1.0.0.0     
New-LocalUser                                        Cmdlet Microsoft.PowerShell.LocalAccounts        1.0.0.0     
New-MaskingSet                                     Function Storage                                   2.0.0.0     
New-Module                                           Cmdlet Microsoft.PowerShell.Core                 3.0.0.0     
New-ModuleManifest                                   Cmdlet Microsoft.PowerShell.Core                 3.0.0.0     
New-MpPerformanceRecording                         Function ConfigDefenderPerformance                 1.0         
New-MpPerformanceRecording                         Function DefenderPerformance                       1.0         
New-NetAdapterAdvancedProperty                     Function NetAdapter                                2.0.0.0     
New-NetEventSession                                Function NetEventPacketCapture                     1.0.0.0     
New-NetFirewallDynamicKeywordAddress               Function NetSecurity                               2.0.0.0     
New-NetFirewallHyperVProfile                       Function NetSecurity                               2.0.0.0     
New-NetFirewallHyperVRule                          Function NetSecurity                               2.0.0.0     
New-NetFirewallHyperVVMSetting                     Function NetSecurity                               2.0.0.0     
New-NetFirewallRule                                Function NetSecurity                               2.0.0.0     
New-NetIPAddress                                   Function NetTCPIP                                  1.0.0.0     
New-NetIPHttpsConfiguration                        Function NetworkTransition                         1.0.0.0     
New-NetIPsecAuthProposal                             Cmdlet NetSecurity                               2.0.0.0     
New-NetIPsecDospSetting                            Function NetSecurity                               2.0.0.0     
New-NetIPsecMainModeCryptoProposal                   Cmdlet NetSecurity                               2.0.0.0     
New-NetIPsecMainModeCryptoSet                      Function NetSecurity                               2.0.0.0     
New-NetIPsecMainModeRule                           Function NetSecurity                               2.0.0.0     
New-NetIPsecPhase1AuthSet                          Function NetSecurity                               2.0.0.0     
New-NetIPsecPhase2AuthSet                          Function NetSecurity                               2.0.0.0     
New-NetIPsecQuickModeCryptoProposal                  Cmdlet NetSecurity                               2.0.0.0     
New-NetIPsecQuickModeCryptoSet                     Function NetSecurity                               2.0.0.0     
New-NetIPsecRule                                   Function NetSecurity                               2.0.0.0     
New-NetLbfoTeam                                    Function NetLbfo                                   2.0.0.0     
New-NetNat                                         Function NetNat                                    1.0.0.0     
New-NetNatTransitionConfiguration                  Function NetworkTransition                         1.0.0.0     
New-NetNeighbor                                    Function NetTCPIP                                  1.0.0.0     
New-NetQosPolicy                                   Function NetQos                                    2.0.0.0     
New-NetRoute                                       Function NetTCPIP                                  1.0.0.0     
New-NetSwitchTeam                                  Function NetSwitchTeam                             1.0.0.0     
New-NetTransportFilter                             Function NetTCPIP                                  1.0.0.0     
New-NetworkSwitchVlan                              Function NetworkSwitchManager                      1.0.0.0     
New-Object                                           Cmdlet Microsoft.PowerShell.Utility              3.1.0.0     
New-Partition                                      Function Storage                                   2.0.0.0     
New-PesterOption                                   Function Pester                                    3.4.0       
New-PmemDedicatedMemory                              Cmdlet PersistentMemory                          1.0.0.0     
New-PmemDisk                                         Cmdlet PersistentMemory                          1.0.0.0     
New-ProvisioningRepro                                Cmdlet Provisioning                              3.0         
New-PSDrive                                          Cmdlet Microsoft.PowerShell.Management           3.1.0.0     
New-PSRoleCapabilityFile                             Cmdlet Microsoft.PowerShell.Core                 3.0.0.0     
New-PSSession                                        Cmdlet Microsoft.PowerShell.Core                 3.0.0.0     
New-PSSessionConfigurationFile                       Cmdlet Microsoft.PowerShell.Core                 3.0.0.0     
New-PSSessionOption                                  Cmdlet Microsoft.PowerShell.Core                 3.0.0.0     
New-PSTransportOption                                Cmdlet Microsoft.PowerShell.Core                 3.0.0.0     
New-PSWorkflowExecutionOption                        Cmdlet PSWorkflow                                2.0.0.0     
New-PSWorkflowSession                              Function PSWorkflow                                2.0.0.0     
New-ScheduledJobOption                               Cmdlet PSScheduledJob                            1.1.0.0     
New-ScheduledTask                                  Function ScheduledTasks                            1.0.0.0     
New-ScheduledTaskAction                            Function ScheduledTasks                            1.0.0.0     
New-ScheduledTaskPrincipal                         Function ScheduledTasks                            1.0.0.0     
New-ScheduledTaskSettingsSet                       Function ScheduledTasks                            1.0.0.0     
New-ScheduledTaskTrigger                           Function ScheduledTasks                            1.0.0.0     
New-ScriptFileInfo                                 Function PowerShellGet                             1.0.0.1     
New-SelfSignedCertificate                            Cmdlet PKI                                       1.0.0.0     
New-Service                                          Cmdlet Microsoft.PowerShell.Management           3.1.0.0     
New-SmbClientCertificateMapping                    Function SmbShare                                  2.0.0.0     
New-SmbGlobalMapping                               Function SmbShare                                  2.0.0.0     
New-SmbMapping                                     Function SmbShare                                  2.0.0.0     
New-SmbMultichannelConstraint                      Function SmbShare                                  2.0.0.0     
New-SmbServerAlternativePort                       Function SmbShare                                  2.0.0.0     
New-SmbServerCertificateMapping                    Function SmbShare                                  2.0.0.0     
New-SmbShare                                       Function SmbShare                                  2.0.0.0     
New-StorageBusBinding                              Function StorageBusCache                           1.0.0.0     
New-StorageBusCacheStore                           Function StorageBusCache                           1.0.0.0     
New-StorageFileServer                              Function Storage                                   2.0.0.0     
New-StoragePool                                    Function Storage                                   2.0.0.0     
New-StorageSubsystemVirtualDisk                    Function Storage                                   2.0.0.0     
New-StorageTier                                    Function Storage                                   2.0.0.0     
New-TemporaryFile                                  Function Microsoft.PowerShell.Utility              3.1.0.0     
New-TimeSpan                                         Cmdlet Microsoft.PowerShell.Utility              3.1.0.0     
New-TlsSessionTicketKey                              Cmdlet TLS                                       2.0.0.0     
New-Variable                                         Cmdlet Microsoft.PowerShell.Utility              3.1.0.0     
New-VirtualDisk                                    Function Storage                                   2.0.0.0     
New-VirtualDiskClone                               Function Storage                                   2.0.0.0     
New-VirtualDiskSnapshot                            Function Storage                                   2.0.0.0     
New-Volume                                         Function Storage                                   2.0.0.0     
New-VpnServerAddress                               Function VpnClient                                 2.0.0.0     
New-WebServiceProxy                                  Cmdlet Microsoft.PowerShell.Management           3.1.0.0     
New-WindowsCustomImage                               Cmdlet Dism                                      3.0         
New-WindowsImage                                     Cmdlet Dism                                      3.0         
New-WinEvent                                         Cmdlet Microsoft.PowerShell.Diagnostics          3.0.0.0     
New-WinUserLanguageList                              Cmdlet International                             2.1.0.0     
New-WSManInstance                                    Cmdlet Microsoft.WSMan.Management                3.0.0.0     
New-WSManSessionOption                               Cmdlet Microsoft.WSMan.Management                3.0.0.0     
O:                                                 Function                                                       
Open-NetGPO                                        Function NetSecurity                               2.0.0.0     
Optimize-AppProvisionedPackages                       Alias Dism                                      3.0         
Optimize-AppxProvisionedPackages                     Cmdlet Dism                                      3.0         
Optimize-ProvisionedAppPackages                       Alias Dism                                      3.0         
Optimize-ProvisionedAppxPackages                      Alias Dism                                      3.0         
Optimize-StoragePool                               Function Storage                                   2.0.0.0     
Optimize-Volume                                    Function Storage                                   2.0.0.0     
Optimize-WindowsImage                                Cmdlet Dism                                      3.0         
oss                                                Function                                                       
Out-Default                                          Cmdlet Microsoft.PowerShell.Core                 3.0.0.0     
Out-File                                             Cmdlet Microsoft.PowerShell.Utility              3.1.0.0     
Out-GridView                                         Cmdlet Microsoft.PowerShell.Utility              3.1.0.0     
Out-Host                                             Cmdlet Microsoft.PowerShell.Core                 3.0.0.0     
Out-Null                                             Cmdlet Microsoft.PowerShell.Core                 3.0.0.0     
Out-Printer                                          Cmdlet Microsoft.PowerShell.Utility              3.1.0.0     
Out-String                                           Cmdlet Microsoft.PowerShell.Utility              3.1.0.0     
P:                                                 Function                                                       
Pause                                              Function                                                       
Pop-Location                                         Cmdlet Microsoft.PowerShell.Management           3.1.0.0     
prompt                                             Function                                                       
Protect-CmsMessage                                   Cmdlet Microsoft.PowerShell.Security             3.0.0.0     
PSConsoleHostReadLine                              Function PSReadLine                                2.0.0       
Publish-AppvClientPackage                            Cmdlet AppvClient                                1.0.0.0     
Publish-BCFileContent                              Function BranchCache                               1.0.0.0     
Publish-BCWebContent                               Function BranchCache                               1.0.0.0     
Publish-DscConfiguration                             Cmdlet PSDesiredStateConfiguration               1.1         
Publish-Module                                     Function PowerShellGet                             1.0.0.1     
Publish-Script                                     Function PowerShellGet                             1.0.0.1     
Push-Location                                        Cmdlet Microsoft.PowerShell.Management           3.1.0.0     
Q:                                                 Function                                                       
R:                                                 Function                                                       
Read-Host                                            Cmdlet Microsoft.PowerShell.Utility              3.1.0.0     
Read-PrinterNfcTag                                 Function PrintManagement                           1.1         
Receive-DtcDiagnosticTransaction                     Cmdlet MsDtc                                     1.0.0.0     
Receive-Job                                          Cmdlet Microsoft.PowerShell.Core                 3.0.0.0     
Receive-PSSession                                    Cmdlet Microsoft.PowerShell.Core                 3.0.0.0     
Register-ArgumentCompleter                           Cmdlet Microsoft.PowerShell.Core                 3.0.0.0     
Register-CimIndicationEvent                          Cmdlet CimCmdlets                                1.0.0.0     
Register-ClusteredScheduledTask                    Function ScheduledTasks                            1.0.0.0     
Register-DnsClient                                 Function DnsClient                                 1.0.0.0     
Register-EngineEvent                                 Cmdlet Microsoft.PowerShell.Utility              3.1.0.0     
Register-IscsiSession                              Function iSCSI                                     1.0.0.0     
Register-ObjectEvent                                 Cmdlet Microsoft.PowerShell.Utility              3.1.0.0     
Register-PackageSource                               Cmdlet PackageManagement                         1.0.0.1     
Register-PSRepository                              Function PowerShellGet                             1.0.0.1     
Register-PSSessionConfiguration                      Cmdlet Microsoft.PowerShell.Core                 3.0.0.0     
Register-RecoveryManagementPlugin                    Cmdlet Dism                                      3.0         
Register-ScheduledJob                                Cmdlet PSScheduledJob                            1.1.0.0     
Register-ScheduledTask                             Function ScheduledTasks                            1.0.0.0     
Register-StorageSubsystem                          Function Storage                                   2.0.0.0     
Register-UevTemplate                                 Cmdlet UEV                                       2.1.639.0   
Register-WmiEvent                                    Cmdlet Microsoft.PowerShell.Management           3.1.0.0     
Remove-AppPackage                                     Alias Appx                                      2.0.1.0     
Remove-AppPackageAutoUpdateSettings                   Alias Appx                                      2.0.1.0     
Remove-AppPackageVolume                               Alias Appx                                      2.0.1.0     
Remove-AppProvisionedPackage                          Alias Dism                                      3.0         
Remove-AppProvisionedSharedPackageContainer          Cmdlet Dism                                      3.0         
Remove-AppSharedPackageContainer                     Cmdlet Appx                                      2.0.1.0     
Remove-AppvClientConnectionGroup                     Cmdlet AppvClient                                1.0.0.0     
Remove-AppvClientPackage                             Cmdlet AppvClient                                1.0.0.0     
Remove-AppvPublishingServer                          Cmdlet AppvClient                                1.0.0.0     
Remove-AppxPackage                                   Cmdlet Appx                                      2.0.1.0     
Remove-AppxPackageAutoUpdateSettings                 Cmdlet Appx                                      2.0.1.0     
Remove-AppxProvisionedPackage                        Cmdlet Dism                                      3.0         
Remove-AppxVolume                                    Cmdlet Appx                                      2.0.1.0     
Remove-AutologgerConfig                            Function EventTracingManagement                    1.0.0.0     
Remove-BCDataCacheExtension                        Function BranchCache                               1.0.0.0     
Remove-BcdElement                                    Cmdlet Microsoft.Windows.Bcd.Cmdlets             1.0.0       
Remove-BcdEntry                                      Cmdlet Microsoft.Windows.Bcd.Cmdlets             1.0.0       
Remove-BitLockerKeyProtector                       Function BitLocker                                 1.0.0.0     
Remove-BitsTransfer                                  Cmdlet BitsTransfer                              2.0.0.0     
Remove-CertificateEnrollmentPolicyServer             Cmdlet PKI                                       1.0.0.0     
Remove-CertificateNotificationTask                   Cmdlet PKI                                       1.0.0.0     
Remove-CimInstance                                   Cmdlet CimCmdlets                                1.0.0.0     
Remove-CimSession                                    Cmdlet CimCmdlets                                1.0.0.0     
Remove-CIPolicyRule                                  Cmdlet ConfigCI                                  1.0         
Remove-Computer                                      Cmdlet Microsoft.PowerShell.Management           3.1.0.0     
Remove-DAEntryPointTableItem                       Function DirectAccessClientComponents              1.0.0.0     
Remove-DnsClientDohServerAddress                   Function DnsClient                                 1.0.0.0     
Remove-DnsClientNrptRule                           Function DnsClient                                 1.0.0.0     
Remove-DscConfigurationDocument                    Function PSDesiredStateConfiguration               1.1         
Remove-DtcClusterTMMapping                         Function MsDtc                                     1.0.0.0     
Remove-EtwTraceProvider                            Function EventTracingManagement                    1.0.0.0     
Remove-EtwTraceSession                                Alias EventTracingManagement                    1.0.0.0     
Remove-Event                                         Cmdlet Microsoft.PowerShell.Utility              3.1.0.0     
Remove-EventLog                                      Cmdlet Microsoft.PowerShell.Management           3.1.0.0     
Remove-FileShare                                   Function Storage                                   2.0.0.0     
Remove-HnsEndpoint                                 Function HostNetworkingService                     1.0.0.1     
Remove-HnsNamespace                                Function HostNetworkingService                     1.0.0.1     
Remove-HnsNetwork                                  Function HostNetworkingService                     1.0.0.1     
Remove-HnsPolicyList                               Function HostNetworkingService                     1.0.0.1     
Remove-InitiatorId                                 Function Storage                                   2.0.0.0     
Remove-InitiatorIdFromMaskingSet                   Function Storage                                   2.0.0.0     
Remove-IscsiTargetPortal                           Function iSCSI                                     1.0.0.0     
Remove-Item                                          Cmdlet Microsoft.PowerShell.Management           3.1.0.0     
Remove-ItemProperty                                  Cmdlet Microsoft.PowerShell.Management           3.1.0.0     
Remove-Job                                           Cmdlet Microsoft.PowerShell.Core                 3.0.0.0     
Remove-JobTrigger                                    Cmdlet PSScheduledJob                            1.1.0.0     
Remove-LocalGroup                                    Cmdlet Microsoft.PowerShell.LocalAccounts        1.0.0.0     
Remove-LocalGroupMember                              Cmdlet Microsoft.PowerShell.LocalAccounts        1.0.0.0     
Remove-LocalUser                                     Cmdlet Microsoft.PowerShell.LocalAccounts        1.0.0.0     
Remove-MaskingSet                                  Function Storage                                   2.0.0.0     
Remove-Module                                        Cmdlet Microsoft.PowerShell.Core                 3.0.0.0     
Remove-MpBehavioralNetworkBlockingRules            Function Defender                                  1.0         
Remove-MpBehavioralNetworkBlockingRules            Function ConfigDefender                            1.0         
Remove-MpPreference                                Function Defender                                  1.0         
Remove-MpPreference                                Function ConfigDefender                            1.0         
Remove-MpThreat                                    Function Defender                                  1.0         
Remove-MpThreat                                    Function ConfigDefender                            1.0         
Remove-MsixPackage                                    Alias Appx                                      2.0.1.0     
Remove-MsixPackageAutoUpdateSettings                  Alias Appx                                      2.0.1.0     
Remove-MsixPackageVolume                              Alias Appx                                      2.0.1.0     
Remove-MsixVolume                                     Alias Appx                                      2.0.1.0     
Remove-NetAdapterAdvancedProperty                  Function NetAdapter                                2.0.0.0     
Remove-NetEventNetworkAdapter                      Function NetEventPacketCapture                     1.0.0.0     
Remove-NetEventPacketCaptureProvider               Function NetEventPacketCapture                     1.0.0.0     
Remove-NetEventProvider                            Function NetEventPacketCapture                     1.0.0.0     
Remove-NetEventSession                             Function NetEventPacketCapture                     1.0.0.0     
Remove-NetEventVFPProvider                         Function NetEventPacketCapture                     1.0.0.0     
Remove-NetEventVmNetworkAdapter                    Function NetEventPacketCapture                     1.0.0.0     
Remove-NetEventVmSwitch                            Function NetEventPacketCapture                     1.0.0.0     
Remove-NetEventVmSwitchProvider                    Function NetEventPacketCapture                     1.0.0.0     
Remove-NetEventWFPCaptureProvider                  Function NetEventPacketCapture                     1.0.0.0     
Remove-NetFirewallDynamicKeywordAddress            Function NetSecurity                               2.0.0.0     
Remove-NetFirewallHyperVProfile                    Function NetSecurity                               2.0.0.0     
Remove-NetFirewallHyperVRule                       Function NetSecurity                               2.0.0.0     
Remove-NetFirewallHyperVVMSetting                  Function NetSecurity                               2.0.0.0     
Remove-NetFirewallRule                             Function NetSecurity                               2.0.0.0     
Remove-NetIPAddress                                Function NetTCPIP                                  1.0.0.0     
Remove-NetIPHttpsCertBinding                       Function NetworkTransition                         1.0.0.0     
Remove-NetIPHttpsConfiguration                     Function NetworkTransition                         1.0.0.0     
Remove-NetIPsecDospSetting                         Function NetSecurity                               2.0.0.0     
Remove-NetIPsecMainModeCryptoSet                   Function NetSecurity                               2.0.0.0     
Remove-NetIPsecMainModeRule                        Function NetSecurity                               2.0.0.0     
Remove-NetIPsecMainModeSA                          Function NetSecurity                               2.0.0.0     
Remove-NetIPsecPhase1AuthSet                       Function NetSecurity                               2.0.0.0     
Remove-NetIPsecPhase2AuthSet                       Function NetSecurity                               2.0.0.0     
Remove-NetIPsecQuickModeCryptoSet                  Function NetSecurity                               2.0.0.0     
Remove-NetIPsecQuickModeSA                         Function NetSecurity                               2.0.0.0     
Remove-NetIPsecRule                                Function NetSecurity                               2.0.0.0     
Remove-NetLbfoTeam                                 Function NetLbfo                                   2.0.0.0     
Remove-NetLbfoTeamMember                           Function NetLbfo                                   2.0.0.0     
Remove-NetLbfoTeamNic                              Function NetLbfo                                   2.0.0.0     
Remove-NetNat                                      Function NetNat                                    1.0.0.0     
Remove-NetNatExternalAddress                       Function NetNat                                    1.0.0.0     
Remove-NetNatStaticMapping                         Function NetNat                                    1.0.0.0     
Remove-NetNatTransitionConfiguration               Function NetworkTransition                         1.0.0.0     
Remove-NetNeighbor                                 Function NetTCPIP                                  1.0.0.0     
Remove-NetQosPolicy                                Function NetQos                                    2.0.0.0     
Remove-NetRoute                                    Function NetTCPIP                                  1.0.0.0     
Remove-NetSwitchTeam                               Function NetSwitchTeam                             1.0.0.0     
Remove-NetSwitchTeamMember                         Function NetSwitchTeam                             1.0.0.0     
Remove-NetTransportFilter                          Function NetTCPIP                                  1.0.0.0     
Remove-NetworkSwitchEthernetPortIPAddress          Function NetworkSwitchManager                      1.0.0.0     
Remove-NetworkSwitchVlan                           Function NetworkSwitchManager                      1.0.0.0     
Remove-OdbcDsn                                     Function Wdac                                      1.0.0.0     
Remove-OsConfigurationDocument                       Cmdlet OsConfiguration                           1.2.0.0     
Remove-OSConfigurationScenarioDefinition             Cmdlet OsConfiguration                           1.2.0.0     
Remove-Partition                                   Function Storage                                   2.0.0.0     
Remove-PartitionAccessPath                         Function Storage                                   2.0.0.0     
Remove-PhysicalDisk                                Function Storage                                   2.0.0.0     
Remove-PmemDedicatedMemory                           Cmdlet PersistentMemory                          1.0.0.0     
Remove-PmemDisk                                      Cmdlet PersistentMemory                          1.0.0.0     
Remove-Printer                                     Function PrintManagement                           1.1         
Remove-PrinterDriver                               Function PrintManagement                           1.1         
Remove-PrinterPort                                 Function PrintManagement                           1.1         
Remove-PrintJob                                    Function PrintManagement                           1.1         
Remove-ProvisionedAppPackage                          Alias Dism                                      3.0         
Remove-ProvisionedAppSharedPackageContainer           Alias Dism                                      3.0         
Remove-ProvisionedAppxPackage                         Alias Dism                                      3.0         
Remove-ProvisioningPackage                            Alias Provisioning                              3.0         
Remove-PSBreakpoint                                  Cmdlet Microsoft.PowerShell.Utility              3.1.0.0     
Remove-PSDrive                                       Cmdlet Microsoft.PowerShell.Management           3.1.0.0     
Remove-PSReadLineKeyHandler                          Cmdlet PSReadLine                                2.0.0       
Remove-PSSession                                     Cmdlet Microsoft.PowerShell.Core                 3.0.0.0     
Remove-PSSnapin                                      Cmdlet Microsoft.PowerShell.Core                 3.0.0.0     
Remove-RecoveryManagementPluginAltitude              Cmdlet Dism                                      3.0         
Remove-SmbBandwidthLimit                           Function SmbShare                                  2.0.0.0     
Remove-SmbClientCertificateMapping                 Function SmbShare                                  2.0.0.0     
Remove-SMBComponent                                Function SmbShare                                  2.0.0.0     
Remove-SmbGlobalMapping                            Function SmbShare                                  2.0.0.0     
Remove-SmbMapping                                  Function SmbShare                                  2.0.0.0     
Remove-SmbMultichannelConstraint                   Function SmbShare                                  2.0.0.0     
Remove-SmbServerAlternativePort                    Function SmbShare                                  2.0.0.0     
Remove-SmbServerCertificateMapping                 Function SmbShare                                  2.0.0.0     
Remove-SmbShare                                    Function SmbShare                                  2.0.0.0     
Remove-StorageBusBinding                           Function StorageBusCache                           1.0.0.0     
Remove-StorageFaultDomain                          Function Storage                                   2.0.0.0     
Remove-StorageFileServer                           Function Storage                                   2.0.0.0     
Remove-StorageHealthIntent                         Function Storage                                   2.0.0.0     
Remove-StorageHealthSetting                        Function Storage                                   2.0.0.0     
Remove-StoragePool                                 Function Storage                                   2.0.0.0     
Remove-StorageTier                                 Function Storage                                   2.0.0.0     
Remove-TargetPortFromMaskingSet                    Function Storage                                   2.0.0.0     
Remove-TrustedProvisioningCertificate                 Alias Provisioning                              3.0         
Remove-TypeData                                      Cmdlet Microsoft.PowerShell.Utility              3.1.0.0     
Remove-Variable                                      Cmdlet Microsoft.PowerShell.Utility              3.1.0.0     
Remove-VirtualDisk                                 Function Storage                                   2.0.0.0     
Remove-VirtualDiskFromMaskingSet                   Function Storage                                   2.0.0.0     
Remove-VMDirectVirtualDisk                         Function VMDirectStorage                           1.0.0.0     
Remove-VpnConnection                               Function VpnClient                                 2.0.0.0     
Remove-VpnConnectionRoute                          Function VpnClient                                 2.0.0.0     
Remove-VpnConnectionTriggerApplication             Function VpnClient                                 2.0.0.0     
Remove-VpnConnectionTriggerDnsConfiguration        Function VpnClient                                 2.0.0.0     
Remove-VpnConnectionTriggerTrustedNetwork          Function VpnClient                                 2.0.0.0     
Remove-WindowsCapability                             Cmdlet Dism                                      3.0         
Remove-WindowsDriver                                 Cmdlet Dism                                      3.0         
Remove-WindowsImage                                  Cmdlet Dism                                      3.0         
Remove-WindowsPackage                                Cmdlet Dism                                      3.0         
Remove-WindowsUpdate                                 Cmdlet PSWindowsUpdate                           2.2.1.5     
Remove-WmiObject                                     Cmdlet Microsoft.PowerShell.Management           3.1.0.0     
Remove-WSManInstance                                 Cmdlet Microsoft.WSMan.Management                3.0.0.0     
Remove-WUServiceManager                              Cmdlet PSWindowsUpdate                           2.2.1.5     
Rename-Computer                                      Cmdlet Microsoft.PowerShell.Management           3.1.0.0     
Rename-DAEntryPointTableItem                       Function DirectAccessClientComponents              1.0.0.0     
