===== 07_FERRAMENTAS_COMANDOS_INSTALADOS =====

Name                                            CommandType Source                                    Version     
Disable-BcdElementBootEms                            Cmdlet Microsoft.Windows.Bcd.Cmdlets             1.0.0       
Disable-BcdElementDebug                              Cmdlet Microsoft.Windows.Bcd.Cmdlets             1.0.0       
Disable-BcdElementEms                                Cmdlet Microsoft.Windows.Bcd.Cmdlets             1.0.0       
Disable-BcdElementEventLogging                       Cmdlet Microsoft.Windows.Bcd.Cmdlets             1.0.0       
Disable-BcdElementHypervisorDebug                    Cmdlet Microsoft.Windows.Bcd.Cmdlets             1.0.0       
Disable-BCDowngrading                              Function BranchCache                               1.0.0.0     
Disable-BCServeOnBattery                           Function BranchCache                               1.0.0.0     
Disable-BitLocker                                  Function BitLocker                                 1.0.0.0     
Disable-BitLockerAutoUnlock                        Function BitLocker                                 1.0.0.0     
Disable-ComputerRestore                              Cmdlet Microsoft.PowerShell.Management           3.1.0.0     
Disable-DAManualEntryPointSelection                Function DirectAccessClientComponents              1.0.0.0     
Disable-DeliveryOptimizationVerboseLogs            Function DeliveryOptimization                      1.0.3.0     
Disable-DscDebug                                   Function PSDesiredStateConfiguration               1.1         
Disable-JobTrigger                                   Cmdlet PSScheduledJob                            1.1.0.0     
Disable-LocalUser                                    Cmdlet Microsoft.PowerShell.LocalAccounts        1.0.0.0     
Disable-MMAgent                                    Function MMAgent                                   1.0         
Disable-NetAdapter                                 Function NetAdapter                                2.0.0.0     
Disable-NetAdapterBinding                          Function NetAdapter                                2.0.0.0     
Disable-NetAdapterChecksumOffload                  Function NetAdapter                                2.0.0.0     
Disable-NetAdapterEncapsulatedPacketTaskOffload    Function NetAdapter                                2.0.0.0     
Disable-NetAdapterIPsecOffload                     Function NetAdapter                                2.0.0.0     
Disable-NetAdapterLso                              Function NetAdapter                                2.0.0.0     
Disable-NetAdapterPacketDirect                     Function NetAdapter                                2.0.0.0     
Disable-NetAdapterPowerManagement                  Function NetAdapter                                2.0.0.0     
Disable-NetAdapterQos                              Function NetAdapter                                2.0.0.0     
Disable-NetAdapterRdma                             Function NetAdapter                                2.0.0.0     
Disable-NetAdapterRsc                              Function NetAdapter                                2.0.0.0     
Disable-NetAdapterRss                              Function NetAdapter                                2.0.0.0     
Disable-NetAdapterSriov                            Function NetAdapter                                2.0.0.0     
Disable-NetAdapterUro                              Function NetAdapter                                2.0.0.0     
Disable-NetAdapterUso                              Function NetAdapter                                2.0.0.0     
Disable-NetAdapterVmq                              Function NetAdapter                                2.0.0.0     
Disable-NetDnsTransitionConfiguration              Function NetworkTransition                         1.0.0.0     
Disable-NetFirewallHyperVRule                      Function NetSecurity                               2.0.0.0     
Disable-NetFirewallRule                            Function NetSecurity                               2.0.0.0     
Disable-NetIPHttpsProfile                          Function NetworkTransition                         1.0.0.0     
Disable-NetIPsecMainModeRule                       Function NetSecurity                               2.0.0.0     
Disable-NetIPsecRule                               Function NetSecurity                               2.0.0.0     
Disable-NetNatTransitionConfiguration              Function NetworkTransition                         1.0.0.0     
Disable-NetworkSwitchEthernetPort                  Function NetworkSwitchManager                      1.0.0.0     
Disable-NetworkSwitchFeature                       Function NetworkSwitchManager                      1.0.0.0     
Disable-NetworkSwitchVlan                          Function NetworkSwitchManager                      1.0.0.0     
Disable-OdbcPerfCounter                            Function Wdac                                      1.0.0.0     
Disable-PhysicalDiskIdentification                 Function Storage                                   2.0.0.0     
